step,loss,lambda
0,3.253951771971557,0.001
0,3.253951771971557,0.01
1,3.253951771971557,0.1
2,3.253951771971557,1.0
3,3.253951771971557,10.0
4,3.253951771971557,100.0
5,2.1680263632355268,10.0
6,1.438796890649562,1.0
7,0.6384337444105834,0.1
8,0.6384337444105834,1.0
9,0.5572370144720982,0.1
10,0.5572370144720982,1.0
11,0.5268371706457914,0.1
12,0.5268371706457914,1.0
13,0.5052580784171233,0.1
14,0.5052580784171233,1.0
15,0.4887571138272916,0.1
16,0.4887571138272916,1.0
17,0.4754617916570154,0.1
18,0.4754617916570154,1.0
19,0.4642718996854719,0.1
