step,loss,lambda
0,1.9544467586507566,0.001
0,0.6391874918275735,0.0001
1,0.3607109678083622,1e-05
2,0.34528111045547677,1.0000000000000002e-06
3,0.32287148240955266,1.0000000000000002e-07
4,0.32242017809523443,1.0000000000000002e-08
5,0.3219918529524397,1.0000000000000003e-09
6,0.3219918529524397,1.0000000000000004e-08
7,0.3206814626283853,1.0000000000000003e-09
8,0.3206814626283853,1.0000000000000004e-08
9,0.3206814626283853,1.0000000000000004e-07
10,0.3206814626283853,1.0000000000000004e-06
11,0.320659601587628,1.0000000000000004e-07
12,0.320659601587628,1.0000000000000004e-06
13,0.32064300772602505,1.0000000000000004e-07
14,0.32061328572032677,1.0000000000000004e-08
15,0.32059462481709844,1.0000000000000003e-09
16,0.32059382466332653,1.0000000000000003e-10
17,0.3205933733010206,1.0000000000000003e-11
18,0.3205933733010206,1.0000000000000003e-10
19,0.3205933733010206,1.0000000000000003e-09
